id,name,location,categories,rating,price
N7VEVrHgwcm4-Aj4neD79g,Hawksmoor,"001197 - Sackville Street, Mayfair","[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,£££
WHrXrCaBE3Uf3d-B5Wyh0g,Heddon Street Kitchen,"001197 - Sackville Street, Mayfair","[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,£££
Gqs6N5V7PcIF_DbTceEFiQ,Cecconi's Mayfair,"001197 - Sackville Street, Mayfair","[{'alias': 'italian', 'title': 'Italian'}]",4.0,£££
SuOm8qiv8MPAqj71PBI9bg,Shoryu Ramen,"001197 - Sackville Street, Mayfair","[{'alias': 'japanese', 'title': 'Japanese'}]",4.0,££
iqzQ-rPbALZWPdhNksIRRw,Blacklock,"001197 - Sackville Street, Mayfair","[{'alias': 'british', 'title': 'British'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,£££
sYwBQ7mJYhB35nn-_SZstQ,Yauatcha,"001197 - Sackville Street, Mayfair","[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,£££
PymJ3yWM5SaZC8QH89ZEBw,Dirty Bones Soho,"001197 - Sackville Street, Mayfair","[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,
E43MdoA7zkZ6SnPjAJaTvA,Brasserie Zédel,"001197 - Sackville Street, Mayfair","[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,£££
Z0JreE98o1Nm1bQRWuKMSA,Powder Keg Diplomacy,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'british', 'title': 'British'}]",4.5,£££
MSotW3dawDoYicJRwGTYWg,Kaosarn,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'thai', 'title': 'Thai'}]",4.0,££
UkQU9tP9cJmpGjdlQA9mDw,Ben's Canteen,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]",4.0,££
RaIZ-cnvuSM3wLDuQkl-aw,Banana Tree,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,££
NMOkz7Nv-fuAV7XEXMoGvw,The Schoolhouse,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'british', 'title': 'British'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,££
