location,poi_type,Type,latitude,longitude,free_bikes
"200219 - Osiers Road, Wandsworth","['Cafes, Coffee, and Tea Houses', 'Restaurant']",Restaurant,51.46067005,-0.198735357,5
"200219 - Osiers Road, Wandsworth","['Coffee Shop', 'Pizzeria']",Restaurant,51.46067005,-0.198735357,5
"200219 - Osiers Road, Wandsworth",['Kebab Restaurant'],Restaurant,51.46067005,-0.198735357,5
"200219 - Osiers Road, Wandsworth",['Fried Chicken Joint'],Restaurant,51.46067005,-0.198735357,5
"200219 - Osiers Road, Wandsworth","['Pizzeria', 'Fast Food Restaurant']",Restaurant,51.46067005,-0.198735357,5
"200219 - Osiers Road, Wandsworth",['Bakery'],Restaurant,51.46067005,-0.198735357,5
"200219 - Osiers Road, Wandsworth",['Pizzeria'],Restaurant,51.46067005,-0.198735357,5
"300068 - Humbolt Road, Fulham",['Taco Restaurant'],Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham","['Café', 'Coffee Shop', 'Southern / Soul Food Restaurant']",Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham",['Restaurant'],Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham",['Café'],Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham","['Café', 'Restaurant']",Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham",['Bakery'],Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham","['Café', 'Restaurant']",Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham",['Moroccan Restaurant'],Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham","['Halal Restaurant', 'Mediterranean Restaurant', 'Persian Restaurant']",Restaurant,51.48321729,-0.211860644,3
"300068 - Humbolt Road, Fulham",['Fried Chicken Joint'],Restaurant,51.48321729,-0.211860644,3
"200215 - Greyhound Road, Hammersmith",['Thai Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Taco Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Turkish Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Fast Food Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith","['Café', 'Coffee Shop', 'Southern / Soul Food Restaurant']",Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Fried Chicken Joint'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Thai Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Turkish Restaurant'],Restaurant,51.48606206,-0.214428378,2
"200215 - Greyhound Road, Hammersmith",['Japanese Restaurant'],Restaurant,51.48606206,-0.214428378,2
"001055 - Wellington Road, St. John's Wood",['Gourmet Store'],Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood","['Bakery', 'Café', 'French Restaurant']",Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood","['Café', 'Restaurant']",Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood",['Fast Food Restaurant'],Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood","['Café', 'Coffee Shop']",Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood",['Modern European Restaurant'],Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood",['Fast Food Restaurant'],Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood",['French Restaurant'],Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood","['Wine Bar', 'Gastropub']",Restaurant,51.53304322,-0.172528678,12
"001055 - Wellington Road, St. John's Wood",['Sushi Restaurant'],Restaurant,51.53304322,-0.172528678,12
"200256 - Sutton Street, Shadwell","['Fried Chicken Joint', 'Fast Food Restaurant']",Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell","['Fish and Chips Shop', 'Fast Food Restaurant']",Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell",['Café'],Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell",['Fish and Chips Shop'],Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell",['Indian Restaurant'],Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell","['Fried Chicken Joint', 'Fast Food Restaurant']",Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell",['Café'],Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell",['Café'],Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell","['Fried Chicken Joint', 'Fast Food Restaurant']",Restaurant,51.511066,-0.053558,13
"200256 - Sutton Street, Shadwell","['Fried Chicken Joint', 'Fast Food Restaurant']",Restaurant,51.511066,-0.053558,13
"200234 - Bancroft Road, Bethnal Green","['Café', 'Coffee Shop', 'Fast Food Restaurant']",Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green","['Bar', 'Café', 'Sandwich Restaurant']",Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green","['Chinese Restaurant', 'Fast Food Restaurant']",Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green",['Italian Restaurant'],Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green",['Turkish Restaurant'],Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green",['Bakery'],Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green","['English Restaurant', 'Modern European Restaurant', 'Seafood Restaurant']",Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green",['Turkish Restaurant'],Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green","['Café', 'Coffee Shop']",Restaurant,51.526041,-0.047218,5
"200234 - Bancroft Road, Bethnal Green",['Restaurant'],Restaurant,51.526041,-0.047218,5
"022163 - Southwark Station 2, Southwark",['Restaurant'],Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark","['Bar', 'Gastropub']",Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark","['Fast Food Restaurant', 'Burrito Restaurant']",Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark",['Turkish Restaurant'],Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark",['Restaurant'],Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark",['Burger Joint'],Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark","['Wine Bar', 'Tapas Restaurant']",Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark",['Italian Restaurant'],Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark","['English Restaurant', 'Israeli Restaurant']",Restaurant,51.504044,-0.104778,35
"022163 - Southwark Station 2, Southwark",['Ramen Restaurant'],Restaurant,51.504044,-0.104778,35
"300236 - Bevington Road West, North Kensington",['Gourmet Store'],Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Fish and Chips Shop', 'Fast Food Restaurant']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Café', 'Coffee Shop', 'Restaurant']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Café', 'Coffee Shop', 'Restaurant']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington",['Bakery'],Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Bakery', 'Café', 'Portuguese Restaurant']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Mediterranean Restaurant', 'Middle Eastern Restaurant', 'Vegan and Vegetarian Restaurant']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Café', 'Coffee Shop', 'Fish and Chips Shop']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Falafel Restaurant', 'Fast Food Restaurant']",Restaurant,51.5212,-0.208888173,12
"300236 - Bevington Road West, North Kensington","['Mediterranean Restaurant', 'Moroccan Restaurant']",Restaurant,51.5212,-0.208888173,12
"001139 - Carey Street, Holborn",['French Restaurant'],Restaurant,51.51501025,-0.112753217,4
"001139 - Carey Street, Holborn","['Argentinian Restaurant', 'Latin American Restaurant', 'Steakhouse']",Restaurant,51.51501025,-0.112753217,4
"001139 - Carey Street, Holborn","['Fast Food Restaurant', 'Sandwich Restaurant']",Restaurant,51.51501025,-0.112753217,4
"001139 - Carey Street, Holborn",['Japanese Restaurant'],Restaurant,51.51501025,-0.112753217,4
"001139 - Carey Street, Holborn","['Falafel Restaurant', 'Fast Food Restaurant', 'Vegan and Vegetarian Restaurant']",Restaurant,51.51501025,-0.112753217,4
"001139 - Carey Street, Holborn","['Fast Food Restaurant', 'Burrito Restaurant']",Restaurant,51.51501025,-0.112753217,4
