id,name,location,categories,rating,price
k52l-CiipKPGF4DgIPxwAw,Old Compton Brasserie,"001163 - Wardour Street, Soho","[{'alias': 'british', 'title': 'British'}, {'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,
MMQdqF-q-d__b1Z8_4Hs2Q,Astoria,"001163 - Wardour Street, Soho","[{'alias': 'italian', 'title': 'Italian'}]",4.5,
iqzQ-rPbALZWPdhNksIRRw,Blacklock,"001163 - Wardour Street, Soho","[{'alias': 'british', 'title': 'British'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,£££
ECyM2jq83wTVQrf9CEI01A,Burger & Lobster,"001163 - Wardour Street, Soho","[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,££
eRsWcoSBWYkfhfXoHxnIEg,Bocca Di Lupo,"001163 - Wardour Street, Soho","[{'alias': 'italian', 'title': 'Italian'}]",4.0,£££
deV4Jb89QAgkyJqvu3aD_g,Mister Lasagna,"001163 - Wardour Street, Soho","[{'alias': 'italian', 'title': 'Italian'}]",4.5,£
meL2itEXPTDVyscFrsc7Uw,Busaba Soho,"001163 - Wardour Street, Soho","[{'alias': 'thai', 'title': 'Thai'}]",4.0,££
IX34i9H1OKjesMp_-lhcpA,New Mayflower,"001163 - Wardour Street, Soho","[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,££
p4SRF3oXUvkR8dr-xpTczg,Absurd Bird Soho,"001163 - Wardour Street, Soho","[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,£££
VTOd4cweIR_5uMHh0KLeBg,Kiln,"001163 - Wardour Street, Soho","[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,££
sYwBQ7mJYhB35nn-_SZstQ,Yauatcha,"001163 - Wardour Street, Soho","[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,£££
2U4muki2mQXmkefOtL1VYQ,Hoppers,"001163 - Wardour Street, Soho","[{'alias': 'srilankan', 'title': 'Sri Lankan'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,££
