name,latitude,longitude,free_bikes
"003483 - Fashion Street, Whitechapel",51.51838043,-0.073438925,25
"003467 - Dock Street, Wapping",51.5097860151,-0.0681619805156,11
"001090 - Warren Street Station, Euston",51.52443845,-0.138019439,4
"003482 - Beaumont Street, Marylebone",51.52200801,-0.151359288,14
"001145 - Earnshaw Street , Covent Garden",51.51611887,-0.128585022,18
"001140 - Grosvenor Road, Pimlico",51.4853572,-0.142207481,10
"001159 - Berry Street, Clerkenwell",51.52285301,-0.099994052,17
"001161 - Brushfield Street, Liverpool Street",51.518908,-0.079249,12
"001051 - Shoreditch Park, Hoxton",51.53404294,-0.086379717,22
"003471 - Chadwell Street, Angel",51.53051587,-0.106408455,0
"003484 - Houghton Street, Strand",51.51362054,-0.116764211,3
"003489 - Broadwick Street, Soho",51.5136846,-0.135580879,16
"003491 - Princes Square, Bayswater",51.5134891,-0.191351186,0
"001146 - Tysoe Street, Clerkenwell",51.52644342,-0.109256828,14
"003490 - Southwick Street, Paddington",51.51595344,-0.169249375,6
"001155 - Regency Street, Westminster",51.49206037,-0.132224622,1
"001209 - Empire Square, The Borough",51.50082346,-0.089740764,21
"001190 - Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,30
"001136 - London Zoo,  The Regent's Park",51.53583617,-0.156285395,12
"001133 - Baylis Road, Waterloo",51.50144456,-0.110699309,22
"001134 - Warwick Road, Olympia",51.49671237,-0.20528437,24
"001143 - Kensington Church Street, Kensington",51.50315739,-0.191496313,16
"001108 - North Wharf Road, Paddington",51.51862243,-0.176645823,11
"003462 - Royal Avenue 2, Chelsea",51.490083,-0.162418,4
"003480 - Smith Square, Westminster",51.49580589,-0.127575233,18
"001141 - Kingsway, Covent Garden",51.51440928,-0.118478757,15
"001117 - Lambeth North Station, Waterloo",51.49914063,-0.112031483,14
"001156 - Bedford Way, Bloomsbury",51.52367314,-0.128377673,20
"001138 - Elizabeth Bridge, Victoria",51.49236962,-0.147478734,25
"003496 - St Mary's Hospital, Paddington",51.518268,-0.17110323,10
